Name,Source,Year,Continent,Country,SRA,BioProject,BioSample
53438,Human,2018,Asia,Lebanon,SRR18803070,PRJNA827950,SAMN27625407
A10,Companion Animal,2017,Europe,France,SRR18803087,PRJNA827950,SAMN27625392
AA23,Companion Animal,2017,Europe,France,SRR18803086,PRJNA827950,SAMN27625393
AA25,Companion Animal,2017,Europe,France,SRR18803084,PRJNA827950,SAMN27625394
B09,Companion Animal,2017,Europe,France,SRR18803083,PRJNA827950,SAMN27625395
CHOG5,Human,ND,South America,French Guiana,SRR18803068,PRJNA827950,SAMN27625409
CVAST0125,Companion Animal,2014,North America,United States,SRR18803108,PRJNA827950,SAMN27625364
CVAST0688,Companion Animal,2015,North America,United States,SRR18803107,PRJNA827950,SAMN27625365
CVAST1048,Companion Animal,2015,North America,United States,SRR18803096,PRJNA827950,SAMN27625366
CVAST1624,Companion Animal,2015,North America,United States,SRR18803085,PRJNA827950,SAMN27625367
CVAST2561,Human,2016,North America,United States,SRR18803074,PRJNA827950,SAMN27625368
DRR102837,Human,2015,Asia,Japan,DRR102837,PRJDB5579,SAMD00077245
E05,Companion Animal,2017,Europe,France,SRR18803082,PRJNA827950,SAMN27625396
ERR3328344,Wild Animal,2016,Africa,Kenya,ERR3328344,PRJEB32607,SAMEA5610664
ERR3330197,Wild Animal,2015,Africa,Kenya,ERR3330197,PRJEB32607,SAMEA5611701
ERR3330558,Human,2016,Africa,Kenya,ERR3330558,PRJEB32607,SAMEA5612063
ERR4254378,Livestock,1980,Europe,Czechia,ERR4254378,PRJEB38876,SAMEA6968490
F02,Companion Animal,2017,Europe,France,SRR18803081,PRJNA827950,SAMN27625397
FG24,Human,ND,Africa,Reunion,SRR18803069,PRJNA827950,SAMN27625408
I53,Companion Animal,2017,Europe,France,SRR18803080,PRJNA827950,SAMN27625398
J02,Companion Animal,2017,Europe,France,SRR18803079,PRJNA827950,SAMN27625399
J25,Companion Animal,2017,Europe,France,SRR18803078,PRJNA827950,SAMN27625400
M17,Companion Animal,2017,Europe,France,SRR18803077,PRJNA827950,SAMN27625401
M27,Companion Animal,2017,Europe,France,SRR18803076,PRJNA827950,SAMN27625402
MVAST0896,Human,2012,North America,United States,SRR18803067,PRJNA827950,SAMN27625369
MVAST2235,Human,2014,North America,United States,SRR18803066,PRJNA827950,SAMN27625370
MVAST2992,Human,2015,North America,United States,SRR18803065,PRJNA827950,SAMN27625371
MVAST3050,Human,2015,North America,United States,SRR18803064,PRJNA827950,SAMN27625372
MVAST4250,Human,2016,North America,United States,SRR18803063,PRJNA827950,SAMN27625373
MVAST4963,Human,2017,North America,United States,SRR18803106,PRJNA827950,SAMN27625374
MVAST5048,Human,2017,North America,United States,SRR18803105,PRJNA827950,SAMN27625375
MVAST5424,Human,2017,North America,United States,SRR18803104,PRJNA827950,SAMN27625376
MVAST5551,Human,2017,North America,United States,SRR18803103,PRJNA827950,SAMN27625377
MVAST5844,Human,2018,North America,United States,SRR18803102,PRJNA827950,SAMN27625378
MVAST6003,Human,2018,North America,United States,SRR18803101,PRJNA827950,SAMN27625379
MVAST6197,Human,2018,North America,United States,SRR18803100,PRJNA827950,SAMN27625380
MVAST6277,Human,2018,North America,United States,SRR18803099,PRJNA827950,SAMN27625381
MVAST6306,Human,2018,North America,United States,SRR18803098,PRJNA827950,SAMN27625382
MVAST6321,Human,2018,North America,United States,SRR18803097,PRJNA827950,SAMN27625383
MVAST6379,Human,2018,North America,United States,SRR18803095,PRJNA827950,SAMN27625384
MVAST6578,Human,2018,North America,United States,SRR18803094,PRJNA827950,SAMN27625385
MVAST6839,Human,2019,North America,United States,SRR18803093,PRJNA827950,SAMN27625386
MVAST6902,Human,2019,North America,United States,SRR18803092,PRJNA827950,SAMN27625387
MVAST6977,Human,2019,North America,United States,SRR18803091,PRJNA827950,SAMN27625388
MVAST7143,Human,2019,North America,United States,SRR18803090,PRJNA827950,SAMN27625389
MVAST7265,Human,2019,North America,United States,SRR18803089,PRJNA827950,SAMN27625390
MVAST7341,Human,2019,North America,United States,SRR18803088,PRJNA827950,SAMN27625391
MVC107,Companion Animal,2009,Oceania,Australia,SRR14629735,PRJNA678027,SAMN16787470
MVC108,Companion Animal,2009,Oceania,Australia,SRR14629944,PRJNA678027,SAMN16787471
MVC121,Companion Animal,2010,Oceania,Australia,SRR14629878,PRJNA678027,SAMN16787478
MVC136,Companion Animal,2010,Oceania,Australia,SRR14629668,PRJNA678027,SAMN16787487
MVC138,Companion Animal,2010,Oceania,Australia,SRR14629646,PRJNA678027,SAMN16787489
MVC152,Companion Animal,2009,Oceania,Australia,SRR14629775,PRJNA678027,SAMN16787498
MVC166,Companion Animal,2010,Oceania,Australia,SRR14629951,PRJNA678027,SAMN16787503
MVC18,Companion Animal,2008,Oceania,Australia,SRR14629745,PRJNA678027,SAMN16787507
MVC20,Companion Animal,2008,Oceania,Australia,SRR14629737,PRJNA678027,SAMN16787515
MVC206,Companion Animal,2011,Oceania,Australia,SRR14629732,PRJNA678027,SAMN16787520
MVC214,Companion Animal,2011,Oceania,Australia,SRR14629945,PRJNA678027,SAMN16787527
MVC234,Companion Animal,2011,Oceania,Australia,SRR14629935,PRJNA678027,SAMN16787536
MVC252,Companion Animal,2011,Oceania,Australia,SRR14629929,PRJNA678027,SAMN16787541
