"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_3231","","hypothetical protein","44","0","0","363","100.0","100.0","inf","4.465846288226489e-60","7.179294492952904e-56","1.794823623238226e-56"
"group_6831","wbpI","UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase","44","0","0","363","100.0","100.0","inf","4.465846288226489e-60","7.179294492952904e-56","1.794823623238226e-56"
"group_9772","wbjC","UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase","44","0","0","363","100.0","100.0","inf","4.465846288226489e-60","7.179294492952904e-56","1.794823623238226e-56"
"group_9773","","hypothetical protein","44","0","0","363","100.0","100.0","inf","4.465846288226489e-60","7.179294492952904e-56","1.794823623238226e-56"
"rfbX","","Putative O-antigen transporter","42","0","2","363","95.45454545454545","100.0","inf","2.9666616892686478e-55","4.7692053316682784e-51","9.538410663336557e-52"
"group_2545","","ISAs1 family transposase ISEc1","43","3","1","360","97.72727272727273","99.17355371900827","5160.0","2.447737049347367e-53","3.9349820805308274e-49","6.558303467551379e-50"
"group_1896","capD","UDP-glucose 4-epimerase","40","0","4","363","90.9090909090909","100.0","inf","3.3207327618840835e-51","5.338409988004853e-47","7.626299982864076e-48"
"group_1105","","IS1 family transposase IS1A","43","21","1","342","97.72727272727273","94.21487603305785","700.2857142857143","6.305624305847408e-41","1.0136921634080293e-36","1.2671152042600367e-37"
"group_3170","","IS1 family transposase IS1A","42","21","2","342","95.45454545454545","94.21487603305785","342.0","7.297560853342941e-39","1.1731558827834112e-34","1.3035065364260125e-35"
"group_9771","","hypothetical protein","32","0","12","363","72.72727272727273","100.0","inf","6.035491805893765e-38","9.702656627154818e-34","9.702656627154818e-35"
"group_3967","","hypothetical protein","31","0","13","363","70.45454545454545","100.0","inf","1.7456499377043165e-36","2.806306839853459e-32","2.5511880362304175e-33"
"group_305","era_5","GTPase Era","39","31","5","332","88.63636363636364","91.46005509641874","83.53548387096774","1.1344725583288924e-29","1.8237780847695275e-25","1.2554703535898827e-26"
"group_9774","","hypothetical protein","26","0","18","363","59.09090909090909","100.0","inf","1.327631003422991e-29","2.1342996011028006e-25","1.2554703535898827e-26"
"group_9775","","hypothetical protein","26","0","18","363","59.09090909090909","100.0","inf","1.327631003422991e-29","2.1342996011028006e-25","1.2554703535898827e-26"
"group_9777","","hypothetical protein","26","0","18","363","59.09090909090909","100.0","inf","1.327631003422991e-29","2.1342996011028006e-25","1.2554703535898827e-26"
"group_9778","","hypothetical protein","26","0","18","363","59.09090909090909","100.0","inf","1.327631003422991e-29","2.1342996011028006e-25","1.2554703535898827e-26"
"group_9779","","hypothetical protein","26","0","18","363","59.09090909090909","100.0","inf","1.327631003422991e-29","2.1342996011028006e-25","1.2554703535898827e-26"
"flu_3","","Antigen 43","36","20","8","343","81.81818181818183","94.49035812672176","77.175","1.8734221803732096e-29","3.0117134971679718e-25","1.6731741650933175e-26"
"group_5068","","hypothetical protein","40","38","4","325","90.9090909090909","89.53168044077135","85.52631578947368","5.74544118093848e-29","9.236371242476702e-25","4.861248022356159e-26"
"group_198","klcA_1","Antirestriction protein KlcA","39","37","5","326","88.63636363636364","89.80716253443526","68.72432432432433","9.771251153323813e-28","1.5708263354083362e-23","7.854131677041681e-25"
"pinR","","Serine recombinase PinR","26","3","18","360","59.09090909090909","99.17355371900827","173.33333333333334","4.217236974844286e-26","6.779630160759674e-22","3.2283953146474636e-23"
"group_44","","hypothetical protein","39","43","5","320","88.63636363636364","88.1542699724518","58.04651162790697","5.1323097174457177e-26","8.250701101765736e-22","3.750318682620789e-23"
"group_9776","","hypothetical protein","26","4","18","359","59.09090909090909","98.89807162534436","129.63888888888889","3.017962291029708e-25","4.851676179059359e-21","2.109424425677982e-22"
"group_4984","","hypothetical protein","40","54","4","309","90.9090909090909","85.12396694214877","57.22222222222222","1.0288069410851316e-24","1.6539100384884576e-20","6.89129182703524e-22"
"group_3235","","hypothetical protein","26","5","18","358","59.09090909090909","98.62258953168043","103.42222222222222","1.7851643804282304e-24","2.869830257976423e-20","1.1479321031905692e-21"
"group_5252","","hypothetical protein","26","6","18","357","59.09090909090909","98.34710743801654","85.94444444444444","9.08233625250475e-24","1.4600763759526636e-19","5.615678369048706e-21"
