"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"ugd","","UDP-glucose 6-dehydrogenase","35","205","167","0","17.326732673267326","0.0","0.0","1.1207936029588139e-79","1.8017877961165893e-75","9.008938980582947e-76"
"group_8455","ugd","UDP-glucose 6-dehydrogenase","167","0","35","205","82.67326732673267","100.0","inf","1.1207936029588139e-79","1.8017877961165893e-75","9.008938980582947e-76"
"yeeD","","Putative sulfur carrier protein YeeD","6","178","196","27","2.9702970297029703","13.170731707317074","0.004643430405870213","2.54142372817538e-76","4.085592785414741e-72","1.3618642618049136e-72"
"group_4166","","hypothetical protein","6","174","196","31","2.9702970297029703","15.121951219512194","0.005453905700211119","8.324844184208133e-73","1.3383019510532995e-68","3.3457548776332487e-69"
"group_5460","","hypothetical protein","154","0","48","205","76.23762376237624","100.0","inf","1.1864842485162168e-69","1.9073920779146702e-65","3.8147841558293405e-66"
"tuaB","","Teichuronic acid biosynthesis protein TuaB","150","0","52","205","74.25742574257426","100.0","inf","7.781608165739045e-67","1.2509713287242088e-62","2.084952214540348e-63"
"group_5060","","hypothetical protein","148","0","54","205","73.26732673267327","100.0","inf","1.8168505270828681e-65","2.920768907338419e-61","3.6509611341730236e-62"
"group_946","","hypothetical protein","148","0","54","205","73.26732673267327","100.0","inf","1.8168505270828681e-65","2.920768907338419e-61","3.6509611341730236e-62"
"group_3864","","hypothetical protein","145","0","57","205","71.78217821782178","100.0","inf","1.8399616605818332e-63","2.957922365551355e-59","2.957922365551355e-60"
"group_6448","","hypothetical protein","145","0","57","205","71.78217821782178","100.0","inf","1.8399616605818332e-63","2.957922365551355e-59","2.957922365551355e-60"
"wfeD","","UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,4-galactosyltransferase","140","0","62","205","69.3069306930693","100.0","inf","3.0963813350574105e-60","4.977742634238293e-56","4.525220576580266e-57"
"pduV_1","","Propanediol utilization protein PduV","174","28","28","177","86.13861386138613","86.34146341463415","39.28316326530612","3.7971600131286295e-53","6.104314437105585e-49","5.086928697587988e-50"
"ddrA","","Diol dehydratase-reactivating factor alpha subunit","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"rsxC_1","","Ion-translocating oxidoreductase complex subunit C","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"astD_1","","N-succinylglutamate 5-semialdehyde dehydrogenase","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"pduF","","Propanediol diffusion facilitator","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"group_6449","","hypothetical protein","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"group_6450","","hypothetical protein","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"pduA_2","","Propanediol utilization protein PduA","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"pduU","","Propanediol utilization protein PduU","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"adhE_1","","Aldehyde-alcohol dehydrogenase","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"group_8458","","hypothetical protein","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"ccmL","","Carbon dioxide concentrating mechanism protein CcmL","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"group_8460","","hypothetical protein","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"pduL","","Phosphate propanoyltransferase","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"pduA_1","","Propanediol utilization protein PduA","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"pduE","","Propanediol dehydratase small subunit","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"pduD","","Propanediol dehydratase medium subunit","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"pduC","","Propanediol dehydratase large subunit","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"pduB","","Propanediol utilization protein PduB","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"group_8468","rhaR_1","HTH-type transcriptional activator RhaR","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"group_8469","","hypothetical protein","168","27","34","178","83.16831683168317","86.82926829268293","32.57516339869281","2.173835358802116e-49","3.494657722810282e-45","1.0920805383782131e-46"
"group_8463","","hypothetical protein","167","27","35","178","82.67326732673267","86.82926829268293","31.456084656084656","1.1389709104395116e-48","1.831009635622559e-44","5.548514047341087e-46"
"intS_2","","Prophage integrase IntS","60","193","142","12","29.7029702970297","5.853658536585367","0.026271619353426257","3.142165806364708e-45","5.051345750311905e-41","1.485689926562325e-42"
"betI_3","","HTH-type transcriptional regulator BetI","82","202","120","3","40.5940594059406","1.4634146341463417","0.010148514851485149","1.899105098872662e-43","3.0530013569476914e-39","8.722861019850547e-41"
"hlyA","","Hemolysin, chromosomal","83","202","119","3","41.089108910891085","1.4634146341463417","0.010358598885098593","6.3509155043941626e-43","1.0209731764864056e-38","2.4330145680331665e-40"
"group_6317","","hypothetical protein","83","202","119","3","41.089108910891085","1.4634146341463417","0.010358598885098593","6.3509155043941626e-43","1.0209731764864056e-38","2.4330145680331665e-40"
"yedY1","","Putative protein-methionine-sulfoxide reductase subunit YedZ1","83","202","119","3","41.089108910891085","1.4634146341463417","0.010358598885098593","6.3509155043941626e-43","1.0209731764864056e-38","2.4330145680331665e-40"
"yadV_3","","putative fimbrial chaperone YadV","83","202","119","3","41.089108910891085","1.4634146341463417","0.010358598885098593","6.3509155043941626e-43","1.0209731764864056e-38","2.4330145680331665e-40"
"hlyB","","Alpha-hemolysin translocation ATP-binding protein HlyB","83","202","119","3","41.089108910891085","1.4634146341463417","0.010358598885098593","6.3509155043941626e-43","1.0209731764864056e-38","2.4330145680331665e-40"
"yedZ1","","Putative protein-methionine-sulfoxide reductase subunit YedZ1","83","202","119","3","41.089108910891085","1.4634146341463417","0.010358598885098593","6.3509155043941626e-43","1.0209731764864056e-38","2.4330145680331665e-40"
"papH_2","","PAP fimbrial minor pilin protein","78","200","124","5","38.613861386138616","2.4390243902439024","0.015725806451612902","6.507814532559477e-43","1.0461962642542616e-38","2.4330145680331665e-40"
"papD_2","","Chaperone protein PapD","78","200","124","5","38.613861386138616","2.4390243902439024","0.015725806451612902","6.507814532559477e-43","1.0461962642542616e-38","2.4330145680331665e-40"
"group_8244","","hypothetical protein","84","202","118","3","41.584158415841586","1.4634146341463417","0.010572243665044471","2.1056498444861215e-42","3.385042689995889e-38","7.693278840899748e-40"
"hlyD","","Hemolysin secretion protein D, chromosomal","79","200","123","5","39.10891089108911","2.4390243902439024","0.01605691056910569","2.2024796803971302e-42","3.5407063342064264e-38","7.868236298236504e-40"
"hlyC","","Hemolysin-activating lysine-acyltransferase HlyC","77","199","125","6","38.11881188118812","2.9268292682926833","0.01857286432160804","3.128040239296385e-42","5.028637488692869e-38","1.0931820627593194e-39"
"papG","","Fimbrial adhesin PapG","73","197","129","8","36.13861386138614","3.902439024390244","0.02298036438043521","4.2061025883043384e-42","6.761730520958054e-38","1.4053866676070565e-39"
"hmo","","4-hydroxymandelate oxidase","82","201","120","4","40.5940594059406","1.951219512195122","0.013598673300165837","4.371070750208561e-42","7.026933338035283e-38","1.4053866676070565e-39"
"group_4952","","IS481 family transposase ISErsp1","82","201","120","4","40.5940594059406","1.951219512195122","0.013598673300165837","4.371070750208561e-42","7.026933338035283e-38","1.4053866676070565e-39"
"group_8246","","hypothetical protein","82","201","120","4","40.5940594059406","1.951219512195122","0.013598673300165837","4.371070750208561e-42","7.026933338035283e-38","1.4053866676070565e-39"
"group_8243","","hypothetical protein","85","202","117","3","42.07920792079208","1.4634146341463417","0.01078954049251079","6.922326702397846e-42","1.1128332406774778e-37","2.1820259621127015e-39"
"group_6320","","hypothetical protein","80","200","122","5","39.603960396039604","2.4390243902439024","0.01639344262295082","7.385786187538617e-42","1.1873389875087082e-37","2.2833442067475157e-39"
"group_3091","","hypothetical protein","78","199","124","6","38.613861386138616","2.9268292682926833","0.0189657967255633","1.0561272496613758e-41","1.6978301665556276e-37","3.2034531444445806e-39"
"phoP_2","","Alkaline phosphatase synthesis transcriptional regulatory protein PhoP","83","201","119","4","41.089108910891085","1.951219512195122","0.01388017893724654","1.4442262644251022e-41","2.321738142689794e-37","4.299515079055174e-39"
"group_8472","","hypothetical protein","65","192","137","13","32.17821782178218","6.341463414634147","0.032124391727493914","1.960634698468089e-41","3.1519163412573e-37","5.730756984104182e-39"
"pagN","","Outer membrane protein PagN","82","200","120","5","40.5940594059406","2.4390243902439024","0.017083333333333332","8.083914445778858e-41","1.2995700863034093e-36","2.3206608683989452e-38"
"group_6454","","hypothetical protein","63","190","139","15","31.18811881188119","7.317073170731707","0.03578190079515335","1.022170845804792e-40","1.6432418517157837e-36","2.882880441606638e-38"
"cdiI","","Immunity protein CdiI","64","190","138","15","31.683168316831683","7.317073170731707","0.036613272311212815","3.623562671132299e-40","5.825239350112284e-36","9.873287034088616e-38"
"group_8473","","hypothetical protein","64","190","138","15","31.683168316831683","7.317073170731707","0.036613272311212815","3.623562671132299e-40","5.825239350112284e-36","9.873287034088616e-38"
