name	scientific_name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
SRR11319492	Escherichia coli	562	S	96	10	106	1.0
MVC674	Escherichia coli	562	S	118	8	126	1.0
SRR8216447	Escherichia coli	562	S	100	11	111	1.0
SRR11871288	Escherichia coli	562	S	38	82	120	0.7741899999999999
SRR11871288	Staphylococcus aureus	1280	S	34	0	34	0.21935
SRR12075376	Escherichia coli	562	S	72	7	79	1.0
SRR12744066	Escherichia coli	562	S	88	13	101	1.0
MVAST7265	Escherichia coli	562	S	76	9	85	1.0
SRR7521740	Escherichia coli	562	S	115	11	126	1.0
SRR12744076	Escherichia coli	562	S	85	9	94	1.0
MVC286	Escherichia coli	562	S	115	15	130	1.0
SRR11319482	Escherichia coli	562	S	67	10	77	1.0
CVAST0688	Escherichia coli	562	S	85	10	95	1.0
SRR8728085	Escherichia coli	562	S	88	4	92	1.0
SD_3_H4	Escherichia coli	562	S	61	9	70	1.0
SRR11892829	Escherichia coli	562	S	68	5	73	1.0
SRR8861527	Escherichia coli	562	S	98	28	126	1.0
SRR11487804	Escherichia coli	562	S	114	25	139	0.95205
SRR11487804	Escherichia marmotae	1499973	S	7	0	7	0.04795
MVAST6197	Escherichia coli	562	S	100	8	108	1.0
SRR11080870	Escherichia coli	562	S	100	7	107	1.0
SRR8767331	Escherichia coli	562	S	125	11	136	1.0
SRR12825272	Escherichia coli	562	S	97	22	119	1.0
SRR12744053	Escherichia coli	562	S	120	12	132	1.0
SRR11892809	Escherichia coli	562	S	86	10	96	1.0
SRR7788266	Escherichia coli	562	S	41	4	45	1.0
SRR8776709	Escherichia coli	562	S	102	9	111	1.0
SRR8236058	Escherichia coli	562	S	102	8	110	1.0
SRR11487832	Escherichia coli	562	S	37	7	44	1.0
SRR3050925	Escherichia coli	562	S	44	8	52	1.0
SRR12733261	Escherichia coli	562	S	103	29	132	0.9166700000000001
SRR12733261	Escherichia marmotae	1499973	S	7	0	7	0.04861
SRR12733261	Shigella virus SfMu	1980943	S	4	0	4	0.027780000000000003
SRR784241	Escherichia coli	562	S	228	89	317	1.0
MVC539	Escherichia coli	562	S	99	7	106	1.0
SRR3051033	Escherichia coli	562	S	85	14	99	1.0
SRR12663939	Escherichia coli	562	S	25	4	29	1.0
SRR8632533	Escherichia coli	562	S	113	15	128	0.87075
SRR8632533	Escherichia marmotae	1499973	S	6	0	6	0.04082
SRR8632533	Shigella virus SfMu	1980943	S	4	1	5	0.034010000000000006
SRR8632533	Salmonella enterica	28901	S	5	1	6	0.04082
SRR12387684	Escherichia coli	562	S	122	15	137	1.0
SRR7064554	Escherichia coli	562	S	62	8	70	1.0
SRR6875375	Escherichia coli	562	S	32	8	40	1.0
B09	Escherichia coli	562	S	87	12	99	1.0
SRR7296758	Escherichia coli	562	S	50	12	62	1.0
SRR11101177	Escherichia coli	562	S	122	11	133	1.0
MVAST5844	Escherichia coli	562	S	69	9	78	1.0
SRR8297456	Escherichia coli	562	S	90	5	95	1.0
V43	Escherichia coli	562	S	89	41	130	1.0
MVC166	Escherichia coli	562	S	81	8	89	1.0
SRR7304400	Escherichia coli	562	S	70	6	76	1.0
SRR12584078	Escherichia coli	562	S	59	4	63	1.0
SRR10095184	Escherichia coli	562	S	49	11	60	1.0
SRR4897731	Escherichia coli	562	S	77	9	86	1.0
SRR8176779	Escherichia coli	562	S	58	4	62	1.0
SRR11892815	Escherichia coli	562	S	62	8	70	1.0
MVAST0896	Escherichia coli	562	S	58	11	69	1.0
SRR11892810	Escherichia coli	562	S	86	21	107	1.0
SRR8541385	Escherichia coli	562	S	68	12	80	0.9411799999999999
SRR8541385	Salmonella enterica	28901	S	4	0	4	0.047060000000000005
SRR1314313	Escherichia coli	562	S	79	19	98	1.0
SRR11668368	Escherichia coli	562	S	71	9	80	1.0
SRR11658535	Escherichia coli	562	S	90	20	110	1.0
MVC387	Escherichia coli	562	S	61	9	70	1.0
SRR10996858	Escherichia coli	562	S	111	9	120	1.0
MVC450	Escherichia coli	562	S	127	12	139	1.0
SRR8868859	Escherichia coli	562	S	113	9	122	1.0
SRR11454228	Escherichia coli	562	S	86	15	101	1.0
SRR11561239	Escherichia coli	562	S	103	7	110	1.0
SRR8632526	Escherichia coli	562	S	68	10	78	1.0
SRR11029841	Escherichia coli	562	S	62	7	69	1.0
SRR11668373	Escherichia coli	562	S	90	15	105	1.0
CVAST0125	Escherichia coli	562	S	65	8	73	1.0
ERR3328344	Escherichia coli	562	S	43	7	50	1.0
SRR7853506	Escherichia coli	562	S	103	8	111	1.0
SRR12509139	Escherichia coli	562	S	57	15	72	1.0
MVC401	Escherichia coli	562	S	91	7	98	1.0
SRR12849898	Escherichia coli	562	S	103	7	110	1.0
SRR9016923	Escherichia coli	562	S	113	13	126	1.0
MVC304	Escherichia coli	562	S	43	10	53	1.0
SRR11187237	Escherichia coli	562	S	63	4	67	1.0
SRR11892828	Escherichia coli	562	S	75	7	82	1.0
MVC515	Escherichia coli	562	S	80	6	86	1.0
MVC138	Escherichia coli	562	S	87	7	94	1.0
SRR3579371	Escherichia coli	562	S	86	10	96	1.0
SRR8544057	Escherichia coli	562	S	190	7	197	1.0
SRR12017858	Escherichia coli	562	S	76	11	87	1.0
MVC586	Escherichia coli	562	S	116	11	127	1.0
MVC773	Escherichia coli	562	S	92	15	107	1.0
SRR12424856	Escherichia coli	562	S	61	4	65	1.0
CHOG5	Escherichia coli	562	S	78	47	125	0.9542
CHOG5	Salmonella enterica	28901	S	4	1	5	0.038169999999999996
J02	Escherichia coli	562	S	77	11	88	1.0
MVC327	Escherichia coli	562	S	96	24	120	0.88235
MVC327	Escherichia marmotae	1499973	S	7	0	7	0.05147
MVC327	Shigella virus SfMu	1980943	S	5	3	8	0.058820000000000004
SRR12744063	Escherichia coli	562	S	77	9	86	0.9347799999999999
SRR12744063	Escherichia marmotae	1499973	S	5	0	5	0.05435
SRR8632714	Escherichia coli	562	S	81	16	97	1.0
SRR5006336	Escherichia coli	562	S	101	16	117	1.0
MVC29	Escherichia coli	562	S	88	9	97	1.0
SRR8728096	Escherichia coli	562	S	51	4	55	1.0
CVAST2561	Escherichia coli	562	S	44	10	54	1.0
SRR9301057	Escherichia coli	562	S	70	5	75	1.0
SRR8737952	Escherichia coli	562	S	96	15	111	1.0
SRR12395471	Escherichia coli	562	S	83	11	94	1.0
SRR12991185	Escherichia coli	562	S	65	10	75	1.0
SRR10126810	Escherichia coli	562	S	51	14	65	1.0
SRR11783249	Escherichia coli	562	S	36	6	42	1.0
MVC30	Escherichia coli	562	S	84	7	91	1.0
SRR10996852	Escherichia coli	562	S	85	5	90	1.0
SRR12849895	Escherichia coli	562	S	133	17	150	0.90909
SRR12849895	Escherichia marmotae	1499973	S	5	0	5	0.0303
SRR12849895	Shigella virus SfMu	1980943	S	4	1	5	0.0303
SRR12849895	Salmonella enterica	28901	S	4	1	5	0.0303
SRR9051983	Escherichia coli	562	S	220	28	248	0.98024
SRR9051983	Salmonella enterica	28901	S	4	0	4	0.01581
CVAST1048	Escherichia coli	562	S	68	10	78	1.0
SRR9616063	Escherichia coli	562	S	101	26	127	1.0
SRR1314585	Escherichia coli	562	S	82	15	97	1.0
SRR12736111	Escherichia coli	562	S	75	10	85	1.0
SRR12845592	Escherichia coli	562	S	50	13	63	1.0
CVAST1624	Escherichia coli	562	S	97	24	121	1.0
SRR8728086	Escherichia coli	562	S	97	6	103	1.0
MVC460	Escherichia coli	562	S	65	9	74	1.0
SRR12744020	Escherichia coli	562	S	99	15	114	1.0
SRR11080867	Escherichia coli	562	S	129	9	138	1.0
SRR12056274	Escherichia coli	562	S	72	20	92	1.0
AA23	Escherichia coli	562	S	86	48	134	0.91781
AA23	Cronobacter sakazakii	28141	S	4	1	5	0.03425
AA23	Staphylococcus aureus	1280	S	6	0	6	0.0411
SRR12744071	Escherichia coli	562	S	69	11	80	1.0
SRR12744054	Escherichia coli	562	S	108	11	119	1.0
MVC63	Escherichia coli	562	S	82	7	89	1.0
SRR10597533	Escherichia coli	562	S	100	16	116	1.0
SRR11043405	Escherichia coli	562	S	54	9	63	1.0
MVAST5048	Escherichia coli	562	S	114	37	151	1.0
SRR11101262	Escherichia coli	562	S	36	3	39	1.0
MVC252	Escherichia coli	562	S	75	10	85	1.0
SRR10258156	Escherichia coli	562	S	67	10	77	1.0
SRR12744070	Escherichia coli	562	S	71	7	78	0.9285700000000001
SRR12744070	Salmonella enterica	28901	S	5	0	5	0.05952
MVC780	Escherichia coli	562	S	101	11	112	1.0
SRR11080859	Escherichia coli	562	S	98	11	109	1.0
MVC414	Escherichia coli	562	S	66	9	75	1.0
SRR9016900	Escherichia coli	562	S	125	11	136	1.0
SRR11451393	Escherichia coli	562	S	45	11	56	1.0
SRR11668375	Escherichia coli	562	S	91	14	105	1.0
SRR12744032	Escherichia coli	562	S	106	9	115	1.0
SRR9301059	Escherichia coli	562	S	102	8	110	1.0
SRR10996857	Escherichia coli	562	S	56	6	62	1.0
SRR10384563	Escherichia coli	562	S	84	15	99	1.0
SRR12825270	Escherichia coli	562	S	86	17	103	1.0
SRR11892864	Escherichia coli	562	S	75	7	82	1.0
SRR11251331	Escherichia coli	562	S	91	23	114	1.0
MVC93	Escherichia coli	562	S	69	12	81	1.0
MVAST7341	Escherichia coli	562	S	41	13	54	1.0
SRR11658586	Escherichia coli	562	S	80	12	92	1.0
SRR11101259	Escherichia coli	562	S	140	11	151	1.0
SRR11783284	Escherichia coli	562	S	66	8	74	1.0
MVC499	Escherichia coli	562	S	84	12	96	1.0
SRR11892812	Escherichia coli	562	S	89	5	94	1.0
SRR12744034	Escherichia coli	562	S	112	11	123	1.0
SRR12395469	Escherichia coli	562	S	99	12	111	1.0
SRR7765064	Escherichia coli	562	S	81	18	99	1.0
SRR10257977	Escherichia coli	562	S	79	7	86	1.0
SRR11043404	Escherichia coli	562	S	54	4	58	1.0
SRR7638091	Escherichia coli	562	S	60	6	66	1.0
SRR9302377	Escherichia coli	562	S	154	6	160	1.0
SRR12424849	Escherichia coli	562	S	64	12	76	1.0
MVC374	Escherichia coli	562	S	109	18	127	1.0
SRR10948370	Escherichia coli	562	S	125	15	140	1.0
SRR11029832	Escherichia coli	562	S	84	12	96	1.0
MVAST6578	Escherichia coli	562	S	69	9	78	1.0
SRR12744007	Escherichia coli	562	S	96	12	108	1.0
SRR3050915	Escherichia coli	562	S	64	11	75	1.0
SRR11101126	Escherichia coli	562	S	90	9	99	1.0
SRR11101199	Escherichia coli	562	S	138	16	154	0.9005799999999999
SRR11101199	Escherichia marmotae	1499973	S	7	0	7	0.04094
SRR11101199	Shigella virus SfMu	1980943	S	4	1	5	0.02924
SRR11101199	Salmonella enterica	28901	S	4	0	4	0.02339
SRR10230814	Escherichia coli	562	S	60	10	70	1.0
SRR5306026	Escherichia coli	562	S	44	14	58	1.0
SRR11783247	Escherichia coli	562	S	83	3	86	1.0
SRR11668362	Escherichia coli	562	S	102	13	115	1.0
SRR12744061	Escherichia coli	562	S	118	21	139	0.9652799999999999
SRR12744061	Escherichia marmotae	1499973	S	4	0	4	0.027780000000000003
MVC661	Escherichia coli	562	S	83	10	93	1.0
E05	Escherichia coli	562	S	92	31	123	0.92481
E05	Escherichia marmotae	1499973	S	5	0	5	0.03759
E05	Shigella virus SfMu	1980943	S	4	0	4	0.030080000000000003
SRR10230841	Escherichia coli	562	S	120	7	127	1.0
SRR8084429	Escherichia coli	562	S	61	5	66	1.0
MVAST5424	Escherichia coli	562	S	51	18	69	1.0
SRR11668365	Escherichia coli	562	S	87	16	103	1.0
MVC439	Escherichia coli	562	S	74	9	83	1.0
SRR7304401	Escherichia coli	562	S	60	6	66	1.0
M27	Escherichia coli	562	S	77	101	178	0.72653
M27	Salmonella enterica	28901	S	63	4	67	0.27347
MVC60	Escherichia coli	562	S	93	16	109	0.95614
MVC60	Escherichia marmotae	1499973	S	5	0	5	0.04386
SD_11_H9	Escherichia coli	562	S	94	9	103	1.0
