#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
53438.fasta	contig00002	2610	2729	-	MVC121_M1_island	1152-1271/54466	=..............	0/0	0.22	93.33	pdu_M1		MVC121_M1_island  (54466 bp)	
53438.fasta	contig00002	41359	50564	+	MVC121_M1_island	1-9214/54466	===...../......	2-Oct	16.9	99.51	pdu_M1		MVC121_M1_island  (54466 bp)	
53438.fasta	contig00002	66256	71689	+	MVC121_M1_island	26753-32184/54466	......==/=.....	2-Feb	9.97	98.4	pdu_M1		MVC121_M1_island  (54466 bp)	
53438.fasta	contig00002	73210	87197	+	MVC121_M1_island	32258-46258/54466	......../====..	13/29	25.67	95.67	pdu_M1		MVC121_M1_island  (54466 bp)	
53438.fasta	contig00002	87435	88868	+	MVC121_M1_island	46496-47929/54466	......../...==.	2-Feb	2.63	86.06	pdu_M1		MVC121_M1_island  (54466 bp)	
A10.fasta	contig00002	594512	595985	-	MVC121_M1_island	46450-47923/54466	......../...==.	4-Aug	2.7	94.86	pdu_M1		MVC121_M1_island  (54466 bp)	
A10.fasta	contig00002	596177	615681	-	MVC121_M1_island	26753-46258/54466	......==/====..	Sep-15	35.8	96.92	pdu_M1		MVC121_M1_island  (54466 bp)	
A10.fasta	contig00003	505253	505372	-	MVC121_M1_island	1152-1271/54466	=..............	0/0	0.22	93.33	pdu_M1		MVC121_M1_island  (54466 bp)	
A10.fasta	contig00003	543998	545266	+	MVC121_M1_island	1-1271/54466	=......./......	1-Feb	2.33	98.98	pdu_M1		MVC121_M1_island  (54466 bp)	
A10.fasta	contig00003	545163	549479	-	MVC121_M1_island	1168-5484/54466	==.............	0/0	7.93	99.4	pdu_M1		MVC121_M1_island  (54466 bp)	
A10.fasta	contig00003	603857	607597	+	MVC121_M1_island	5465-9214/54466	.==...../......	1-Sep	6.87	98.61	pdu_M1		MVC121_M1_island  (54466 bp)	
