Name,Source,Year,Continent,Country
53438,Human,2018,Asia,Lebanon
A10,Companion Animal,2017,Europe,France
AA23,Companion Animal,2017,Europe,France
AA25,Companion Animal,2017,Europe,France
B09,Companion Animal,2017,Europe,France
CHOG5,Human,ND,South America,French Guiana
CVAST0125,Companion Animal,2014,North America,United States
CVAST0688,Companion Animal,2015,North America,United States
CVAST1048,Companion Animal,2015,North America,United States
CVAST1624,Companion Animal,2015,North America,United States
CVAST2561,Human,2016,North America,United States
DRR102837,Human,2015,Asia,Japan
E05,Companion Animal,2017,Europe,France
ERR3328344,Wild Animal,2016,Africa,Kenya
ERR3330197,Wild Animal,2015,Africa,Kenya
ERR3330558,Human,2016,Africa,Kenya
ERR4254378,Livestock,1980,Europe,Czechia
F02,Companion Animal,2017,Europe,France
FG24,Human,ND,Africa,Reunion
I53,Companion Animal,2017,Europe,France
J02,Companion Animal,2017,Europe,France
J25,Companion Animal,2017,Europe,France
M17,Companion Animal,2017,Europe,France
M27,Companion Animal,2017,Europe,France
MVAST0896,Human,2012,North America,United States
MVAST2235,Human,2014,North America,United States
MVAST2992,Human,2015,North America,United States
MVAST3050,Human,2015,North America,United States
MVAST4250,Human,2016,North America,United States
MVAST4923,Human,2017,North America,United States
MVAST5048,Human,2017,North America,United States
MVAST5424,Human,2017,North America,United States
MVAST5551,Human,2017,North America,United States
MVAST5844,Human,2018,North America,United States
MVAST6003,Human,2018,North America,United States
MVAST6197,Human,2018,North America,United States
MVAST6277,Human,2018,North America,United States
MVAST6306,Human,2018,North America,United States
MVAST6321,Human,2018,North America,United States
MVAST6379,Human,2018,North America,United States
MVAST6578,Human,2018,North America,United States
MVAST6839,Human,2019,North America,United States
MVAST6902,Human,2019,North America,United States
MVAST6977,Human,2019,North America,United States
MVAST7143,Human,2019,North America,United States
MVAST7265,Human,2019,North America,United States
MVAST7341,Human,2019,North America,United States
MVC107,Companion Animal,2009,Oceania,Australia
MVC108,Companion Animal,2009,Oceania,Australia
MVC121,Companion Animal,2010,Oceania,Australia
MVC136,Companion Animal,2010,Oceania,Australia
MVC138,Companion Animal,2010,Oceania,Australia
MVC152,Companion Animal,2009,Oceania,Australia
MVC166,Companion Animal,2010,Oceania,Australia
MVC18,Companion Animal,2008,Oceania,Australia
MVC20,Companion Animal,2008,Oceania,Australia
MVC206,Companion Animal,2011,Oceania,Australia
MVC214,Companion Animal,2011,Oceania,Australia
MVC234,Companion Animal,2011,Oceania,Australia
MVC252,Companion Animal,2011,Oceania,Australia
MVC262,Companion Animal,2011,Oceania,Australia
MVC266,Companion Animal,2012,Oceania,Australia
MVC27,Companion Animal,2009,Oceania,Australia
MVC272,Companion Animal,2012,Oceania,Australia
MVC286,Companion Animal,2012,Oceania,Australia
MVC29,Companion Animal,2009,Oceania,Australia
MVC30,Companion Animal,2009,Oceania,Australia
MVC304,Companion Animal,2012,Oceania,Australia
MVC309,Companion Animal,2012,Oceania,Australia
MVC31,Companion Animal,2009,Oceania,Australia
MVC324,Companion Animal,2012,Oceania,Australia
MVC327,Companion Animal,2013,Oceania,Australia
