Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences
btuB_2,,Vitamin B12 transporter BtuB,408,408
dgcN,,Diguanylate cyclase DgcN,408,408
algC,,Phosphomannomutase/phosphoglucomutase,408,408
torS,,Sensor protein TorS,408,408
mdtO,,Multidrug resistance protein MdtO,408,408
rplV,,50S ribosomal protein L22,408,408
group_15341,,hypothetical protein,408,408
rpsN,,30S ribosomal protein S14,408,408
purC,,Phosphoribosylaminoimidazole-succinocarboxamide synthase,408,408
tpx,,Thiol peroxidase,408,408
ibpA,,Small heat shock protein IbpA,408,408
rplO,,50S ribosomal protein L15,408,408
fruA_2,,PTS system fructose-specific EIIABC component,408,408
zapB,,Cell division protein ZapB,408,408
slyX,,Protein SlyX ,408,408
ispD,,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,408,408
rpmA,,50S ribosomal protein L27,408,408
group_15352,,hypothetical protein,408,408
lolB,,Outer-membrane lipoprotein LolB,408,408
group_15354,,hypothetical protein,408,408
sdhE,,FAD assembly factor SdhE,408,408
rplU,,50S ribosomal protein L21,408,408
apt,,Adenine phosphoribosyltransferase,408,408
nusB,,Transcription antitermination protein NusB,408,408
rpsP,,30S ribosomal protein S16,408,408
group_15366,,hypothetical protein,408,408
nuoH,,NADH-quinone oxidoreductase subunit H,408,408
feoA,,Fe(2+) transport protein A,408,408
pasI,,Persistence and stress-resistance antitoxin PasI,408,408
pabA,,Aminodeoxychorismate synthase component 2,408,408
group_15371,,hypothetical protein,408,408
trpS,,Tryptophan--tRNA ligase,408,408
yaiY,,Inner membrane protein YaiY,408,408
pyrE,,Orotate phosphoribosyltransferase,408,408
ompX,,Outer membrane protein X,408,408
thiL,,Thiamine-monophosphate kinase,408,408
ubiJ_1,,Ubiquinone biosynthesis accessory factor UbiJ,408,408
tsaD,,tRNA N6-adenosine threonylcarbamoyltransferase,408,408
rpsM,,30S ribosomal protein S13,408,408
group_15380,,hypothetical protein,408,408
rlmH,,Ribosomal RNA large subunit methyltransferase H,408,408
rpmC,,50S ribosomal protein L29,408,408
group_15383,,hypothetical protein,408,408
cvpA,,Colicin V production protein,408,408
mreD,,Rod shape-determining protein MreD,408,408
cutA,,Divalent-cation tolerance protein CutA,408,408
yfbM,,Protein YfbM,408,408
moaD,,Molybdopterin synthase sulfur carrier subunit,408,408
group_15389,,hypothetical protein,408,408
rplR,,50S ribosomal protein L18,408,408
ydhY,,putative ferredoxin-like protein YdhY,408,408
srlR_3,,Glucitol operon repressor,408,408
glnK,,Nitrogen regulatory protein P-II 2,408,408
aroA,,3-phosphoshikimate 1-carboxyvinyltransferase,408,408
rplF,,50S ribosomal protein L6,408,408
ygjH,,tRNA-binding protein YgjH,408,408
ubiE,,Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE,408,408
yshB,,putative protein YshB,408,408
hypC,,Hydrogenase maturation factor HypC,408,408
ymiA,,Protein YmiA,408,408
corC,,Magnesium and cobalt efflux protein CorC,408,408
nusG,,Transcription termination/antitermination protein NusG,408,408
group_15403,,hypothetical protein,408,408
rpsG,,30S ribosomal protein S7,408,408
rpsR,,30S ribosomal protein S18,408,408
cutC_1,,Copper homeostasis protein CutC,408,408
pyrD,,Dihydroorotate dehydrogenase (quinone),408,408
group_15408,,hypothetical protein,408,408
rpmD,,50S ribosomal protein L30,408,408
group_15416,,hypothetical protein,408,408
fabH,,3-oxoacyl-[acyl-carrier-protein] synthase 3,408,408
soxS_1,,Regulatory protein SoxS,408,408
zntB,,Zinc transport protein ZntB,408,408
group_15420,,hypothetical protein,408,408
cueR,,HTH-type transcriptional regulator CueR,408,408
purU,,Formyltetrahydrofolate deformylase,408,408
group_15423,,hypothetical protein,408,408
cspD,,Cold shock-like protein CspD,408,408
arnF,,putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF,408,408
group_15426,,hypothetical protein,408,408
ppa,,Inorganic pyrophosphatase,408,408
rplS,,50S ribosomal protein L19,408,408
lptE,,LPS-assembly lipoprotein LptE,408,408
tolR,,Tol-Pal system protein TolR,408,408
bolA,,DNA-binding transcriptional regulator BolA,408,408
frwD_2,,PTS system fructose-like EIIB component 3,408,408
proV,,Glycine betaine/proline betaine transport system ATP-binding protein ProV,408,408
glmU_2,,Bifunctional protein GlmU,408,408
ybaQ,,putative HTH-type transcriptional regulator YbaQ,408,408
murI,,Glutamate racemase,408,408
ilvM,,Acetolactate synthase isozyme 2 small subunit,408,408
yoaG,,Protein YoaG,408,408
group_15445,,hypothetical protein,408,408
group_15446,,hypothetical protein,408,408
mukE,,Chromosome partition protein MukE,408,408
holE,,DNA polymerase III subunit theta,408,408
pstC,,Phosphate transport system permease protein PstC,408,408
group_15450,,hypothetical protein,408,408
group_15451,,hypothetical protein,408,408
minE,,Cell division topological specificity factor,408,408
dut,,Deoxyuridine 5'-triphosphate nucleotidohydrolase,408,408
