#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
53438.fasta	contig00004	112	8051	-	MVAST6839_kps_island	1-7940/44169	===............	0/0	17.98	100	kps_M3		MVAST6839_kps_island  (44169 bp)	
53438.fasta	contig00027	9167	9363	+	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
53438.fasta	contig00028	1104	37341	-	MVAST6839_kps_island	7932-44169/44169	..=============	0/0	82.04	99.99	kps_M3		MVAST6839_kps_island  (44169 bp)	
A10.fasta	contig00019	32202	32398	-	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
A10.fasta	contig00026	8277	8475	-	MVAST6839_kps_island	9180-9379/44169	..=...../......	1-Jan	0.45	85.5	kps_M3		MVAST6839_kps_island  (44169 bp)	
AA23.fasta	contig00003	22023	29904	+	MVAST6839_kps_island	1-7882/44169	===...../......	4-Oct	17.83	97.78	kps_M3		MVAST6839_kps_island  (44169 bp)	
AA23.fasta	contig00003	36313	65322	+	MVAST6839_kps_island	15163-44169/44169	....====/======	5-Jul	65.67	98.44	kps_M3		MVAST6839_kps_island  (44169 bp)	
AA23.fasta	contig00021	32202	32398	-	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
AA23.fasta	contig00024	7338	7436	-	MVAST6839_kps_island	8677-8776/44169	..=...../......	1-Jan	0.22	83	kps_M3		MVAST6839_kps_island  (44169 bp)	
AA25.fasta	contig00019	9167	9363	+	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
AA25.fasta	contig00025	10570	10754	+	MVAST6839_kps_island	8541-8725/44169	..=............	0/0	0.42	75.14	kps_M3		MVAST6839_kps_island  (44169 bp)	
B09.fasta	contig00020	9167	9363	+	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
CHOG5.fasta	contig00004	1	33705	+	MVAST6839_kps_island	10465-44169/44169	...============	0/0	76.31	100	kps_M3		MVAST6839_kps_island  (44169 bp)	
CHOG5.fasta	contig00025	44708	55120	+	MVAST6839_kps_island	1-10413/44169	====...........	0/0	23.58	100	kps_M3		MVAST6839_kps_island  (44169 bp)	
CHOG5.fasta	contig00028	32257	32453	-	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
CVAST0125.fasta	contig00003	5550	49718	+	MVAST6839_kps_island	1-44169/44169	===============	0/0	100	99.97	kps_M3		MVAST6839_kps_island  (44169 bp)	
CVAST0125.fasta	contig00018	32202	32398	-	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
CVAST0688.fasta	contig00005	311689	340698	-	MVAST6839_kps_island	15163-44169/44169	....====/======	5-Jul	65.67	98.44	kps_M3		MVAST6839_kps_island  (44169 bp)	
CVAST0688.fasta	contig00005	347107	354988	-	MVAST6839_kps_island	1-7882/44169	===...../......	4-Oct	17.83	97.78	kps_M3		MVAST6839_kps_island  (44169 bp)	
CVAST0688.fasta	contig00026	9167	9363	+	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
CVAST0688.fasta	contig00028	27027	27125	+	MVAST6839_kps_island	8677-8776/44169	..=...../......	1-Jan	0.22	83	kps_M3		MVAST6839_kps_island  (44169 bp)	
CVAST1048.fasta	contig00018	9167	9363	+	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
CVAST1624.fasta	contig00020	32202	32398	-	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
CVAST1624.fasta	contig00035	144	342	+	MVAST6839_kps_island	9180-9379/44169	..=...../......	1-Jan	0.45	85.5	kps_M3		MVAST6839_kps_island  (44169 bp)	
CVAST2561.fasta	contig00007	220277	220461	-	MVAST6839_kps_island	8541-8725/44169	..=............	0/0	0.42	75.14	kps_M3		MVAST6839_kps_island  (44169 bp)	
CVAST2561.fasta	contig00018	9167	9363	+	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
DRR102837.fasta	contig00042	32494	32690	-	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
DRR102837.fasta	contig00056	1518	11425	-	MVAST6839_kps_island	34262-44169/44169	...........====	0/0	22.43	99.93	kps_M3		MVAST6839_kps_island  (44169 bp)	
DRR102837.fasta	contig00056	11434	28569	-	MVAST6839_kps_island	17310-34445/44169	.....=======...	0/0	38.8	99.83	kps_M3		MVAST6839_kps_island  (44169 bp)	
DRR102837.fasta	contig00065	10268	20882	+	MVAST6839_kps_island	1-10615/44169	====...........	0/0	24.03	99.97	kps_M3		MVAST6839_kps_island  (44169 bp)	
DRR102837.fasta	contig00109	1	1956	+	MVAST6839_kps_island	15054-17009/44169	.....=.........	0/0	4.43	100	kps_M3		MVAST6839_kps_island  (44169 bp)	
E05.fasta	contig00024	32202	32398	-	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
ERR3328344.fasta	contig00003	311471	355639	-	MVAST6839_kps_island	1-44169/44169	===============	0/0	100	99.98	kps_M3		MVAST6839_kps_island  (44169 bp)	
ERR3328344.fasta	contig00017	9167	9363	+	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
ERR3330197.fasta	contig00003	277907	322075	+	MVAST6839_kps_island	1-44169/44169	===============	0/0	100	99.98	kps_M3		MVAST6839_kps_island  (44169 bp)	
ERR3330197.fasta	contig00013	32257	32453	-	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
ERR3330558.fasta	contig00003	372122	416290	+	MVAST6839_kps_island	1-44169/44169	===============	0/0	100	99.98	kps_M3		MVAST6839_kps_island  (44169 bp)	
ERR3330558.fasta	contig00015	9167	9363	+	MVAST6839_kps_island	22205-22401/44169	.......=.......	0/0	0.45	78.68	kps_M3		MVAST6839_kps_island  (44169 bp)	
ERR4254378.fasta	contig00002	25926	70094	+	MVAST6839_kps_island	1-44169/44169	===============	0/0	100	99.96	kps_M3		MVAST6839_kps_island  (44169 bp)	
