#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
53438.fasta	contig00002	2610	2729	-	MVC107_island	1152-1271/62374	=..............	0/0	0.19	93.33	pdu_G		MVC107_island  (62374 bp)	
53438.fasta	contig00002	41359	50564	+	MVC107_island	1-9214/62374	===...../......	2-Oct	14.76	99.51	pdu_G		MVC107_island  (62374 bp)	
53438.fasta	contig00002	66256	88901	+	MVC107_island	26753-49402/62374	......==/====..	16/28	36.29	96.38	pdu_G		MVC107_island  (62374 bp)	
53438.fasta	contig00002	96341	97410	+	MVC107_island	61305-62374/62374	......../.....=	4-Jun	1.71	81.92	pdu_G		MVC107_island  (62374 bp)	
A10.fasta	contig00002	582220	585543	-	MVC107_island	59053-62374/62374	......../.....=	6-Aug	5.32	85.27	pdu_G		MVC107_island  (62374 bp)	
A10.fasta	contig00002	594512	610176	-	MVC107_island	33705-49366/62374	.......=/====..	4-May	25.11	96.87	pdu_G		MVC107_island  (62374 bp)	
A10.fasta	contig00002	610250	615681	-	MVC107_island	26753-32184/62374	......==/......	2-Feb	8.71	99.58	pdu_G		MVC107_island  (62374 bp)	
A10.fasta	contig00003	505253	505372	-	MVC107_island	1152-1271/62374	=..............	0/0	0.19	93.33	pdu_G		MVC107_island  (62374 bp)	
A10.fasta	contig00003	543998	545266	+	MVC107_island	1-1271/62374	=......./......	1-Feb	2.03	98.98	pdu_G		MVC107_island  (62374 bp)	
A10.fasta	contig00003	545163	549479	-	MVC107_island	1168-5484/62374	==.............	0/0	6.92	99.4	pdu_G		MVC107_island  (62374 bp)	
A10.fasta	contig00003	603857	607597	+	MVC107_island	5465-9214/62374	.==...../......	1-Sep	6	98.61	pdu_G		MVC107_island  (62374 bp)	
AA23.fasta	contig00002	429065	432361	-	MVC107_island	59080-62374/62374	......../.....=	2-Apr	5.28	87.9	pdu_G		MVC107_island  (62374 bp)	
AA23.fasta	contig00002	439796	455465	-	MVC107_island	33705-49373/62374	.......=/====..	3-Mar	25.12	97.09	pdu_G		MVC107_island  (62374 bp)	
AA23.fasta	contig00002	456251	461683	-	MVC107_island	26753-32184/62374	......==/......	1-Jan	8.71	98.93	pdu_G		MVC107_island  (62374 bp)	
AA23.fasta	contig00017	4011	13213	-	MVC107_island	1-9214/62374	===...../......	2-Nov	14.75	99.06	pdu_G		MVC107_island  (62374 bp)	
AA23.fasta	contig00017	51841	51960	+	MVC107_island	1152-1271/62374	=..............	0/0	0.19	93.33	pdu_G		MVC107_island  (62374 bp)	
AA25.fasta	contig00001	630644	632079	-	MVC107_island	47939-49374/62374	...........=...	0/0	2.3	96.59	pdu_G		MVC107_island  (62374 bp)	
