name	pMLST_scheme	pMLST
SRR12056274	IncA/C PMLST	3
53438	IncF RST	F35:A-:B-
A10	IncF RST	F-:A-:B-
AA23	IncF RST	F-:A-:B52
AA25	IncF RST	F-:A-:B-
B09	IncF RST	F-:A-:B-
CHOG5	IncF RST	F1:A1:B1
CVAST0125	IncF RST	F-:A-:B-
CVAST0688	IncF RST	F-:A-:B52
CVAST1048	IncF RST	F-:A-:B-
CVAST1624	IncF RST	F29:A-:B10
CVAST2561	IncF RST	F-:A-:B-
DRR102837	IncF RST	F-:A-:B-
E05	IncF RST	F-:A-:B-
ERR3328344	IncF RST	F-:A-:B-
ERR3330197	IncF RST	F-:A-:B-
ERR3330558	IncF RST	F24:A-:B1
ERR4254378	IncF RST	F-:A-:B-
F02	IncF RST	F-:A-:B-
FG24	IncF RST	F-:A-:B-
I53	IncF RST	F-:A-:B-
J02	IncF RST	F-:A-:B-
J25	IncF RST	F-:A-:B-
M17	IncF RST	F-:A-:B-
M27	IncF RST	F-:A-:B-
MVAST0896	IncF RST	F-:A-:B-
MVAST2235	IncF RST	F-:A-:B-
MVAST2992	IncF RST	F-:A-:B-
MVAST3050	IncF RST	F-:A-:B-
MVAST4250	IncF RST	F-:A-:B-
MVAST4923	IncF RST	F-:A-:B49
MVAST5048	IncF RST	F2:A-:B10
MVAST5424	IncF RST	F-:A-:B-
MVAST5551	IncF RST	F-:A-:B-
MVAST5844	IncF RST	F-:A-:B-
MVAST6003	IncF RST	F-:A-:B-
MVAST6197	IncF RST	F-:A-:B-
MVAST6277	IncF RST	F-:A-:B-
MVAST6306	IncF RST	F-:A-:B-
MVAST6321	IncF RST	F-:A-:B-
MVAST6379	IncF RST	F-:A-:B-
MVAST6578	IncF RST	F-:A-:B-
MVAST6839	IncF RST	F-:A-:B-
MVAST6902	IncF RST	F104:A-:B-
MVAST6977	IncF RST	F104:A-:B-
MVAST7143	IncF RST	F-:A-:B-
MVAST7265	IncF RST	F-:A-:B-
MVAST7341	IncF RST	F-:A-:B-
MVC107	IncF RST	F-:A-:B-
MVC108	IncF RST	F-:A-:B-
MVC121	IncF RST	F-:A-:B-
MVC136	IncF RST	F96:A-:B-
MVC138	IncF RST	F96:A-:B-
MVC152	IncF RST	F-:A-:B-
MVC166	IncF RST	F-:A-:B-
MVC18	IncF RST	F-:A-:B52
MVC206	IncF RST	F-:A-:B-
MVC20	IncF RST	F-:A-:B-
MVC214	IncF RST	F-:A-:B-
MVC234	IncF RST	F104:A-:B-
MVC252	IncF RST	F-:A-:B-
MVC262	IncF RST	F4:A-:B1
MVC266	IncF RST	F-:A-:B-
MVC272	IncF RST	F-:A-:B-
MVC27	IncF RST	F-:A-:B-
MVC286	IncF RST	F103:A-:B-
MVC29	IncF RST	F-:A-:B-
MVC304	IncF RST	F-:A-:B-
MVC309	IncF RST	F-:A-:B-
MVC30	IncF RST	F-:A-:B-
MVC31	IncF RST	F-:A-:B-
MVC324	IncF RST	F-:A-:B-
MVC327	IncF RST	F-:A-:B-
MVC374	IncF RST	F-:A-:B1
MVC378_P5	IncF RST	F-:A-:B-
MVC380	IncF RST	F-:A-:B1
MVC387	IncF RST	F-:A-:B-
MVC390	IncF RST	F-:A-:B-
MVC401	IncF RST	F-:A-:B-
MVC414	IncF RST	F-:A-:B-
