Database	Gene	Serotype	Identity	Template / HSP length	Contig	Position in contig	Accession number	SRR6875375
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1268317 cov=23.9 corr=0 origname=NODE_1_length_1268317_cov_23.937053_pilon sw=shovill-spades/1.0.9 date=20210127	751014..752681	CP000247	SRR6875375
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1268317 cov=23.9 corr=0 origname=NODE_1_length_1268317_cov_23.937053_pilon sw=shovill-spades/1.0.9 date=20210127	582176..583618	AB812035	SRR6875375
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=772516 cov=28.1 corr=0 origname=NODE_1_length_772516_cov_28.071351_pilon sw=shovill-spades/1.0.9 date=20210126	20240..21907	CP000247	CVAST0688
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=772516 cov=28.1 corr=0 origname=NODE_1_length_772516_cov_28.071351_pilon sw=shovill-spades/1.0.9 date=20210126	189281..190723	AB812035	CVAST0688
O_type	wzy	O83	100.0	1236 / 1236	contig00001 len=772516 cov=28.1 corr=0 origname=NODE_1_length_772516_cov_28.071351_pilon sw=shovill-spades/1.0.9 date=20210126	188049..189284	AB812035	CVAST0688
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1173293 cov=17.8 corr=0 origname=NODE_1_length_1173293_cov_17.796077_pilon sw=shovill-spades/1.0.9 date=20210127	793401..795068	CP000247	SRR11487804
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1173293 cov=17.8 corr=0 origname=NODE_1_length_1173293_cov_17.796077_pilon sw=shovill-spades/1.0.9 date=20210127	624574..626016	AB812035	SRR11487804
H_type	fliC	H31	100.0	1668 / 1668	contig00043 len=29269 cov=26.6 corr=0 origname=NODE_43_length_29269_cov_26.597934_pilon sw=shovill-spades/1.0.9 date=20210127	20419..22086	CP000247	SRR7521740
O_type	wzx	O15	100.0	1245 / 1245	contig00024 len=56648 cov=26.9 corr=0 origname=NODE_24_length_56648_cov_26.874188_pilon sw=shovill-spades/1.0.9 date=20210127	54634..55878	AY647261	SRR7521740
H_type	fliC	H31	100.0	1668 / 1668	contig00004 len=292867 cov=37.5 corr=0 origname=NODE_4_length_292867_cov_37.474804_pilon sw=shovill-spades/1.0.9 date=20210126	51906..53573	CP000247	SRR11561239
