#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
53438.fasta	contig00002	51542	51720	+	pUTI89_NC_007941	40457-40636/114230	....=.../......	1/1	0.16	83.89	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00005	11993	12182	+	pUTI89_NC_007941	32861-33050/114230	....=..........	0/0	0.17	92.63	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00005	26364	29309	-	pUTI89_NC_007941	30105-33050/114230	...==..........	0/0	2.58	98.23	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00005	29298	29763	-	pUTI89_NC_007941	27235-27699/114230	...=..../......	1/1	0.41	95.49	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00007	6853	7040	-	pUTI89_NC_007941	42226-42411/114230	.....=../......	2/2	0.16	80.85	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00011	2	111	+	pUTI89_NC_007941	37363-37472/114230	....=..........	0/0	0.10	87.27	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00011	104997	105269	-	pUTI89_NC_007941	69959-70230/114230	......../=.....	1/1	0.24	76.19	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00013	112677	113392	+	pUTI89_NC_007941	14171-14888/114230	.=....../......	2/2	0.63	78.83	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00021	21496	21683	+	pUTI89_NC_007941	59616-59803/114230	.......=.......	0/0	0.16	84.57	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00021	21680	21822	+	pUTI89_NC_007941	61216-61363/114230	.......=/......	3/5	0.13	81.76	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00022	1	8091	-	pUTI89_NC_007941	61717-69814/114230	.......=/=.....	14/35	7.07	93.87	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00022	8088	9241	-	pUTI89_NC_007941	58432-59585/114230	.......=.......	0/0	1.01	94.63	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00022	9234	11168	-	pUTI89_NC_007941	54613-56546/114230	......=./......	1/1	1.69	99.02	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00022	14260	14701	-	pUTI89_NC_007941	51451-51892/114230	......=........	0/0	0.39	95.25	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00022	35845	36191	-	pUTI89_NC_007941	26892-27238/114230	...=...........	0/0	0.30	92.51	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00022	37015	39413	-	pUTI89_NC_007941	694-3093/114230	=......./......	4/5	2.10	95.80	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00022	40428	40502	-	pUTI89_NC_007941	588-662/114230	=..............	0/0	0.07	94.67	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00022	40955	41655	-	pUTI89_NC_007941	113234-113923/114230	......../.....=	7/25	0.60	75.85	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00022	42514	43056	-	pUTI89_NC_007941	112330-112872/114230	..............=	0/0	0.48	86.56	pUTI89		pUTI89_NC_007941	
53438.fasta	contig00022	43099	49441	-	pUTI89_NC_007941	104978-111320/114230	......../....==	5/8	5.55	96.60	pUTI89		pUTI89_NC_007941	
