name	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
53438	4986847	276	18068.29	546828	201	0	0	197055	8	139019	14	84573	23
A10	5159288	127	40624.31	688587	200	0	0	363467	5	197043	9	76159	17
AA23	5248482	222	23641.81	1563696	200	0	0	356236	4	160696	8	52862	19
AA25	5074357	102	49748.60	1222587	202	0	0	367011	4	197043	7	76326	16
B09	5156052	103	50058.76	678102	205	0	0	363562	5	224126	8	72969	17
CHOG5	5187584	136	38144.00	453934	202	0	0	229993	8	129460	14	35819	32
CVAST0125	5146795	74	69551.28	1026864	201	0	0	406829	4	316985	7	76327	15
CVAST0688	5261248	100	52612.48	772516	205	0	0	361303	6	139025	11	56977	22
CVAST1048	5009405	78	64223.14	1027267	202	0	0	370317	4	193075	7	76072	15
CVAST1624	5290386	122	43363.82	611602	205	0	0	361580	6	194082	10	68509	18
CVAST2561	4922946	57	86367.47	1057127	200	0	0	356709	4	213191	8	106260	14
DRR102837	4729772	131	36105.13	299146	202	0	0	74859	18	46152	35	22844	62
E05	5059134	140	36136.67	588768	201	0	0	229480	7	143815	12	52058	22
ERR3328344	4891168	51	95905.25	1121094	200	0	0	584479	3	197048	6	107356	13
ERR3330197	4608983	40	115224.57	1169222	202	0	0	633975	3	358358	4	110613	9
ERR3330558	4757148	49	97084.65	1164037	217	0	0	727999	3	218879	6	110606	11
ERR4254378	5025875	100	50258.75	423323	207	0	0	176016	9	138755	16	62667	26
F02	5117986	152	33670.96	590744	202	0	0	356971	6	151171	11	76159	20
FG24	4975322	81	61423.73	983036	201	0	0	370545	5	168164	8	67725	17
I53	5119389	85	60228.11	823208	200	0	0	366981	5	197050	9	87439	16
J02	5077802	88	57702.30	880458	202	0	0	339984	5	203717	8	76072	16
J25	5158213	142	36325.44	791488	200	0	0	363464	5	197043	9	73839	18
M17	5187504	207	25060.41	667457	202	0	0	356867	6	197038	9	76159	18
M27	5182546	246	21067.26	1221830	201	0	0	667383	3	201057	6	81301	14
MVAST0896	4849822	70	69283.17	405623	218	0	0	243711	8	153691	13	60011	23
MVAST2235	5083289	115	44202.51	754331	202	0	0	363466	5	190471	9	41564	18
MVAST2992	4851113	89	54506.89	405623	202	0	0	147589	11	107210	19	48063	31
MVAST3050	5229761	172	30405.59	828179	208	0	0	221029	7	140052	13	35235	24
MVAST4250	5004274	100	50042.74	631622	202	0	0	309118	6	190471	10	47279	19
MVAST4923	5254749	114	46094.29	497272	202	0	0	191905	9	149946	15	41564	25
MVAST5048	5257801	153	34364.71	573510	203	0	0	355786	7	197043	10	41561	21
MVAST5424	5076721	69	73575.67	1218368	202	0	0	632837	3	224432	7	102546	14
MVAST5551	5086279	94	54109.35	1180569	213	0	0	356970	4	307964	7	76072	14
